id_estado,nome,sigla_uf,fk_pais
1,Exterior,EX,NULL
11,Rodônia,RO,BRA
12,Acre,AC,BRA
13,Amazonas,AM,BRA
14,Roraima,RR,BRA
15,Pará,PA,BRA
16,Amapá,AM,BRA
17,Tocantins,TO,BRA
21,Maranhão,MA,BRA
22,Piauí,PI,BRA
23,Ceará,CE,BRA
24,"Rio Grande do Norte",RN,BRA
25,Paraíba,PB,BRA
26,Pernambuco,PE,BRA
27,Alagoas,AL,BRA
28,Sergipe,SE,BRA
29,Bahia,BA,BRA
31,"Minas Gerais",MG,BRA
32,"Espírito Santo",ES,BRA
33,"Rio de Janeiro",RJ,BRA
35,"São Paulo",SP,BRA
41,Paraná,PR,BRA
42,"Santa Catarina",SC,BRA
43,"Rio Grande do Sul",RS,BRA
50,"Mato Grosso do Sul",MS,BRA
51,"Mato Grosso",MT,BRA
52,Goiás,GO,BRA
53,"Distrito Federal",DF,BRA
