id_mesorregiao,fk_id_estado,nome
01,11,Madeira-Guaporé
01,12,"Vale do Juruá"
01,13,"Norte Amazonense"
01,14,"Norte de Roraima"
01,15,"Baixo Amazonas"
01,16,"Norte do Amapá"
01,17,"Ocidental do Tocantins"
01,21,"Norte Maranhense"
01,22,"Norte Piauiense"
01,23,"Noroeste Cearense"
01,24,"Oeste Potiguar"
01,25,"Sertão Paraibano"
01,26,"Sertão Pernambucano"
01,27,"Sertão Alagoano"
01,28,"Sertão Sergipano"
01,29,"Extremo Oeste Baiano"
01,31,"Noroeste de Minas"
01,32,"Noroeste Espírito-santense"
01,33,"Noroeste Fluminense"
01,35,"São José do Rio Preto"
01,41,"Noroeste Paranaense"
01,42,"Oeste Catarinense"
01,43,"Noroeste Rio-grandense"
01,50,"Pantanais Sul Mato-grossense"
01,51,"Norte Mato-grossense"
01,52,"Noroeste Goiano"
01,53,"Distrito Federal"
02,11,"Leste Rondoniense"
02,12,"Vale do Acre"
02,13,"Sudoeste Amazonense"
02,14,"Sul de Roraima"
02,15,Marajó
02,16,"Sul do Amapá"
02,17,"Oriental do Tocantins"
02,21,"Oeste Maranhense"
02,22,"Centro-Norte Piauiense"
02,23,"Norte Cearense"
02,24,"Central Potiguar"
02,25,Borborema
02,26,"São Francisco Pernambucano"
02,27,"Agreste Alagoano"
02,28,"Agreste Sergipano"
02,29,"Vale São-Franciscano da Bahia"
02,31,"Norte de Minas"
02,32,"Litoral Norte Espírito-santense"
02,33,"Norte Fluminense"
02,35,"Ribeirão Preto"
02,41,"Centro Ocidental Paranaense"
02,42,"Norte Catarinense"
02,43,"Nordeste Rio-grandense"
02,50,"Centro Norte de Mato Grosso do Sul"
02,51,"Nordeste Mato-grossense"
02,52,"Norte Goiano"
03,13,"Centro Amazonense"
03,15,"Metropolitana de Belém"
03,21,"Centro Maranhense"
03,22,"Sudoeste Piauiense"
03,23,"Metropolitana de Fortaleza"
03,24,"Agreste Potiguar"
03,25,"Agreste Paraibano"
03,26,"Agreste Pernambucano"
03,27,"Leste Alagoano"
03,28,"Leste Sergipano"
03,29,"Centro Norte Baiano"
03,31,Jequitinhonha
03,32,"Central Espírito-santense"
03,33,"Centro Fluminense"
03,35,Araçatuba
03,41,"Norte Central Paranaense"
03,42,Serrana
03,43,"Centro Ocidental Rio-grandense"
03,50,"Leste de Mato Grosso do Sul"
03,51,"Sudoeste Mato-grossense"
03,52,"Centro Goiano"
04,13,"Sul Amazonense"
04,15,"Nordeste Paraense"
04,21,"Leste Maranhense"
04,22,"Sudeste Piauiense"
04,23,"Sertões Cearenses"
04,24,"Leste Potiguar"
04,25,"Mata Paraibana"
04,26,"Mata Pernambucana"
04,29,"Nordeste Baiano"
04,31,"Vale do Mucuri"
04,32,"Sul Espírito-santense"
04,33,Baixadas
04,35,Bauru
04,41,"Norte Pioneiro Paranaense"
04,42,"Vale do Itajaí"
04,43,"Centro Oriental Rio-grandense"
04,50,"Sudoeste de Mato Grosso do Sul"
04,51,"Centro-Sul Mato-grossense"
04,52,"Leste Goiano"
05,15,"Sudoeste Paraense"
05,21,"Sul Maranhense"
05,23,Jaguaribe
05,26,"Metropolitana de Recife"
05,29,"Metropolitana de Salvador"
05,31,"Triângulo Mineiro/Alto Paranaíba"
05,33,"Sul Fluminense"
05,35,Araraquara
05,41,"Centro Oriental Paranaense"
05,42,"Grande Florianópolis"
05,43,"Metropolitana de Porto Alegre"
05,51,"Sudeste Mato-grossense"
05,52,"Sul Goiano"
06,15,"Sudeste Paraense"
06,23,"Centro-Sul Cearense"
06,29,"Centro Sul Baiano"
06,31,"Central Mineira"
06,33,"Metropolitana do Rio de Janeiro"
06,35,Piracicaba
06,41,"Oeste Paranaense"
06,42,"Sul Catarinense"
06,43,"Sudoeste Rio-grandense"
07,23,"Sul Cearense"
07,29,"Sul Baiano"
07,31,"Metropolitana de Belo Horizonte"
07,35,Campinas
07,41,"Sudoeste Paranaense"
07,43,"Sudeste Rio-grandense"
08,31,"Vale do Rio Doce"
08,35,"Presidente Prudente"
08,41,"Centro-Sul Paranaense"
09,31,"Oeste de Minas"
09,35,Marília
09,41,"Sudeste Paranaense"
10,31,"Sul/Sudoeste de Minas"
10,35,Assis
10,41,"Metropolitana de Curitiba"
11,31,"Campo das Vertentes"
11,35,Itapetininga
12,31,"Zona da Mata"
12,35,"Macro Metropolitana Paulista"
13,35,"Vale do Paraíba Paulista"
14,35,"Litoral Sul Paulista"
15,35,"Metropolitana de São Paulo"
