INSTITUTO BRASILEIRO DE GEOGRAFIA E ESTATÍSTICA
RESOLUÇÃO Nº 05 , DE 10 DE OUTUBRO DE 2002
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
BAHIA 564.692,669
Abaíra 2900108 578,359
Abaré 2900207 1.693,690
Acajutiba 2900306 267,662
Adustina 2900355 619,664
Água Fria 2900405 643,180
Aiquara 2900603 195,174
Alagoinhas 2900702 733,969
Alcobaça 2900801 1.505,992
Almadina 2900900 246,894
Amargosa 2901007 435,932
Amélia Rodrigues 2901106 124,075
América Dourada 2901155 743,889
Anagé 2901205 1.852,554
Andaraí 2901304 1.895,162
Andorinha 2901353 1.207,680
Angical 2901403 1.638,717
Anguera 2901502 158,729
Antas 2901601 383,991
Antônio Cardoso 2901700 293,217
Antônio Gonçalves 2901809 316,131
Aporá 2901908 572,226
Apuarema 2901957 150,686
Araças 2902054 419,933
Aracatu 2902005 1.535,887
Araci 2902104 1.524,068
Aramari 2902203 352,535
Arataca 2902252 396,086
Aratuípe 2902302 177,150
Aurelino Leal 2902401 446,446
Baianópolis 2902500 3.360,088
Baixa Grande 2902609 982,657
Banzaê 2902658 212,316
Barra 2902708 11.332,950
Barra da Estiva 2902807 1.401,979
Barra do Choça 2902906 778,335
Barra do Mendes 2903003 1.252,094
Barra do Rocha 2903102 192,556
Barreiras 2903201 7.895,241
Barro Alto 2903235 425,750
Governador Lomanto Júnior 2903300 120,570
Barrocas 2903276 188,105
Belmonte 2903409 2.009,896
Belo Campo 2903508 608,594
Biritinga 2903607 430,602
Boa Nova 2903706 856,886
Boa Vista do Tupim 2903805 2.629,822
Bom Jesus da Lapa 2903904 3.951,425
Bom Jesus da Serra 2903953 410,033
Boninal 2904001 847,905
Bonito 2904050 641,229
Boquira 2904100 1.430,780
Botuporã 2904209 552,570
Brejões 2904308 481,292
Brejolândia 2904407 2.619,439
Brotas de Macaúbas 2904506 2.372,644
Brumado 2904605 2.166,532
Buerarema 2904704 209,559
Área Territorial :
UF – Bahia – BA - 29
MUNICÍPIO CODMUNIC ÁREA (km²)
Buritirama 2904753 3.797,871
Caatiba 2904803 655,581
Cabaceiras do Paraguaçu 2904852 213,550
Cachoeira 2904902 398,472
Caculé 2905008 685,914
Caém 2905107 497,467
Caetanos 2905156 857,282
Caetité 2905206 2.306,382
Cafarnaum 2905305 927,491
Cairu 2905404 451,194
Caldeirão Grande 2905503 495,837
Camacan 2905602 632,926
Camaçari 2905701 759,802
Camamu 2905800 885,195
Campo Alegre de Lourdes 2905909 2.753,919
Campo Formoso 2906006 6.806,097
Canápolis 2906105 464,307
Canarana 2906204 617,991
Canavieiras 2906303 1.375,556
Candeal 2906402 455,278
Candeias 2906501 264,487
Candiba 2906600 397,965
Cândido Sales 2906709 1.301,378
Cansanção 2906808 1.319,495
Canudos 2906824 2.984,883
Capela do Alto Alegre 2906857 655,805
Capim Grosso 2906873 350,032
Caraíbas 2906899 1.125,474
Caravelas 2906907 2.361,278
Cardeal da Silva 2907004 184,859
Carinhanha 2907103 2.751,856
Casa Nova 2907202 9.657,505
Castro Alves 2907301 762,981
Catolândia 2907400 659,717
Catu 2907509 439,573
Caturama 2907558 646,080
Central 2907608 606,999
Chorrochó 2907707 2.647,887
Cícero Dantas 2907806 658,940
Cipó 2907905 166,953
