id_cidade,codigo_municipio,nome,geo_latitude,geo_longitude,geo_altitude,fk_id_microrregião,fk_id_estado,fk_id_mesorregião,fk_id_regiao_imediata,fk_id_regiao_intermediaria,fk_id_estado
5200050,00050,Abadia de Goiás,-16.758.811.894.819.600,-49.440.547.832.657.400,89.360.146.599.999.900,52010,52,5203,520001,5201,52
3100104,00104,Abadia dos Dourados,-18.487.564.958.939,-47.396.832.440.622.100,753.124.911,31019,31,3105,310061,3111,31
5200100,00100,Abadiânia,-16.182.671.858.004.700,-48.718.812.141.675.200,10.175.506.339.999.900,52012,52,5204,520002,5201,52
3100203,00203,Abaeté,-19.155.847.694.144.400,-45.446.191.417.204.900,64.473.990.900.000.000,31024,31,3106,310070,3113,31
1500107,00107,Abaetetuba,-172.346.986.284.591,-48.884.403.820.723.100,10.120.343,15011,15,1504,150003,1501,15
2300101,00101,Abaiara,,,,23033,23,2307,230012,2304,23
2900108,00108,Abaíra,-132.535.318.932.762,-41.661.608.480.235.900,67.422.365.600.000.000,29023,29,2906,290013,2904,29
2900207,00207,Abaré,-87.234.182.456.863.300,-39.116.587.939.642.700,31.638.199.400.000.000,29005,29,2902,290024,2909,29
4100103,00103,Abatiá,-23.300.494.037.122.800,-50.312.526.582.881.900,57.929.549.299.999.900,41015,41,4104,410022,4105,41
4200051,00051,Abdon Batista,-27.608.987.123.336.200,-510.252.722.110.367,72.097.583.199.999.900,42009,42,4203,420008,4204,42
1500131,00131,Abel Figueiredo,-49.513.908.955.313.000,-48.396.762.125.794.500,19.275.665.100.000.000,15017,15,1506,150009,1503,15
4200101,00101,Abelardo Luz,-26.563.031.022.444.600,-52.336.482.383.323.600,72.498.714.299.999.900,42003,42,4201,420011,4204,42
3100302,00302,Abre Campo,-20.301.445.283.840.400,-424.809.899.866.789,58.983.014.500.000.000,31061,31,3112,310028,3106,31
2600054,00054,Abreu e Lima,-79.044.489.899.999.900,-34.899.130.584.730.400,27.060.592,26017,26,2605,260001,2601,26
1700251,00251,Abreulândia,-96.217.907.119.983.500,-49.162.437.555.479.600,23.886.186.599.999.900,17003,17,1701,170003,1701,17
3100401,00401,Acaiaca,-20.360.408.931.255.800,-43.148.238.901.834.700,49.279.101.700.000.000,31060,31,3112,310030,3106,31
2100055,00055,Açailândia,-49.513.770.001.624.700,-475.066.645.931.119,22.904.882.499.999.900,21009,21,2102,210021,2105,21
2900306,00306,Acajutiba,-116.626.128.300.483,-38.018.286.370.579.500,18.392.838.399.999.900,29017,29,2904,290002,2901,29
1500206,00206,Acará,-19.634.365,-48.200.456.431.750.000,73.950.310.000.000.000,15012,15,1504,150001,1501,15
2300150,00150,Acarape,,,,23013,23,2302,230003,2301,23
2300200,00200,Acaraú,,,,23001,23,2301,230017,2306,23
2400109,00109,Acari,-64.420.850.889.338.500,-36.643.738.869.998.300,25.883.512.300.000.000,24012,24,2402,240008,2402,24
2200053,00053,Acauã,-82.207.866.628.776.100,-41.083.637.817.238.700,37.231.178.999.999.900,22015,22,2204,220010,2203,22
4300034,00034,Aceguá,-318.640.153.042.621,-54.164.731.536.363.300,23.792.224.999.999.900,43031,43,4306,430010,4302,43
2300309,00309,Acopiara,,,,23021,23,2304,230009,2303,23
5100102,00102,Acorizal,-15.197.889.980.333.800,-56.371.552.566.709.700,20.178.098.700.000.000,51016,51,5104,510001,5101,51
1200013,00013,Acrelândia,-10.073.793.892.463.400,-67.052.316.580.020.600,205.894.014,12004,12,1202,120001,1201,12
5200134,00134,Acreúna,-17.398.156.219.227.600,-50.374.973.366.655.200,54.239.273.600.000.000,52014,52,5205,520015,5204,52
2400208,00208,Açu,-557.194.599.924.666,-36.917.923.219.958.900,48.682.721.999.999.900,24004,24,2401,240011,2403,24
