id_municipio,codigo_municipio,nome,geo_latitude,geo_longitude,geo_altitude,fk_id_estado,fk_id_microrregiao,fk_id_mesorregiao,fk_id_regiao_imediata,fk_id_regiao_intermediaria
5200050,5200050,Abadia de Goiás,-16.75881189,-49.44054783,893.601466,52,52010,5203,520001,5201
3100104,3100104,Abadia dos Dourados,-18.48756496,-47.39683244,753.124911,31,31019,3105,310061,3111
5200100,5200100,Abadiânia,-16.18267186,-48.71881214,1017.550634,52,52012,5204,520002,5201
3100203,3100203,Abaeté,-19.15584769,-45.44619142,644.739909,31,31024,3106,310070,3113
1500107,1500107,Abaetetuba,-1.723469863,-48.88440382,10.120343,15,15011,1504,150003,1501
2300101,2300101,Abaiara,,,,23,23033,2307,230012,2304
2900108,2900108,Abaíra,-13.25353189,-41.66160848,674.223656,29,29023,2906,290013,2904
2900207,2900207,Abaré,-8.723418246,-39.11658794,316.381994,29,29005,2902,290024,2909
4100103,4100103,Abatiá,-23.30049404,-50.31252658,579.295493,41,41015,4104,410022,4105
4200051,4200051,Abdon Batista,-27.60898712,-51.02527221,720.975832,42,42009,4203,420008,4204
1500131,1500131,Abel Figueiredo,-4.951390896,-48.39676213,192.756651,15,15017,1506,150009,1503
4200101,4200101,Abelardo Luz,-26.56303102,-52.33648238,724.987143,42,42003,4201,420011,4204
3100302,3100302,Abre Campo,-20.30144528,-42.48098999,589.830145,31,31061,3112,310028,3106
2600054,2600054,Abreu e Lima,-7.90444899,-34.89913058,27.060592,26,26017,2605,260001,2601
1700251,1700251,Abreulândia,-9.621790712,-49.16243756,238.861866,17,17003,1701,170003,1701
3100401,3100401,Acaiaca,-20.36040893,-43.1482389,492.791017,31,31060,3112,310030,3106
2100055,2100055,Açailândia,-4.951377,-47.50666459,229.048825,21,21009,2102,210021,2105
2900306,2900306,Acajutiba,-11.66261283,-38.01828637,183.928384,29,29017,2904,290002,2901
1500206,1500206,Acará,-1.9634365,-48.20045643,7.395031,15,15012,1504,150001,1501
2300150,2300150,Acarape,,,,23,23013,2302,230003,2301
2300200,2300200,Acaraú,,,,23,23001,2301,230017,2306
2400109,2400109,Acari,-6.442085089,-36.64373887,258.835123,24,24012,2402,240008,2402
2200053,2200053,Acauã,-8.220786663,-41.08363782,372.31179,22,22015,2204,220010,2203
4300034,4300034,Aceguá,-31.8640153,-54.16473154,237.92225,43,43031,4306,430010,4302
2300309,2300309,Acopiara,,,,23,23021,2304,230009,2303
5100102,5100102,Acorizal,-15.19788998,-56.37155257,201.780987,51,51016,5104,510001,5101
1200013,1200013,Acrelândia,-10.07379389,-67.05231658,205.894014,12,12004,1202,120001,1201
5200134,5200134,Acreúna,-17.39815622,-50.37497337,542.392736,52,52014,5205,520015,5204
2400208,2400208,Açu,-5.571945999,-36.91792322,48.682722,24,24004,2401,240011,2403
3100500,3100500,Açucena,-19.07671289,-42.54621088,473.702083,31,31039,3108,310024,3105
3500105,3500105,Adamantina,-21.68831148,-51.07336475,451.118802,35,35035,3508,350019,3505
5200159,5200159,Adelândia,-16.41500151,-50.16314668,641.106702,52,52009,5203,520003,5201
3500204,3500204,Adolfo,-21.23272978,-49.64972143,425.392149,35,35004,3501,350025,3507
4100202,4100202,Adrianópolis,-24.66168971,-48.99175454,180.705908,41,41035,4110,410001,4101
2900355,2900355,Adustina,-10.52957157,-38.11550583,280.710248,29,29015,2904,290027,2909
2600104,2600104,Afogados da Ingazeira,-7.748327586,-37.63768602,515.346206,26,26003,2601,260014,2603
2400307,2400307,Afonso Bezerra,-5.498734268,-36.50914823,64.503212,24,24009,2402,240011,2403
3200102,3200102,Afonso Cláudio,-20.07704001,-41.12545972,360.799057,32,32007,3203,320002,3201
2100105,2100105,Afonso Cunha,-4.135015477,-43.320869,67.197529,21,21016,2104,210013,2103
2600203,2600203,Afrânio,-8.511091284,-41.00579734,515.842902,26,26005,2602,260015,2604
1500305,1500305,Afuá,-0.159171694,-50.39142759,3.136401,15,15005,1502,150020,1507
2600302,2600302,Agrestina,-8.455973,-35.94677684,437.15488,26,26012,2603,260009,2602
2200103,2200103,Agricolândia,-5.795501935,-42.6591832,260.437671,22,22005,2202,220002,2201
4200200,4200200,Agrolândia,-27.40051659,-49.82565339,383.216181,42,42014,4204,420022,4207
4200309,4200309,Agronômica,-27.26971611,-49.71836889,342.189721,42,42011,4204,420022,4207
1500347,1500347,Água Azul do Norte,-6.804948867,-50.48527451,296.299435,15,15019,1506,150014,1504
3100609,3100609,Água Boa,-17.99105305,-42.38964323,432.447164,31,31036,3108,310014,3103
5100201,5100201,Água Boa,-14.0490868,-52.1589153,453.875795,51,51010,5102,510015,5104
2700102,2700102,Água Branca,-9.267025497,-37.94071518,632.664775,27,27001,2701,270009,2702
2200202,2200202,Água Branca,-5.893266338,-42.63513086,244.539673,22,22005,2202,220002,2201
2500106,2500106,Água Branca,-7.511070151,-37.64220904,747.497953,25,25007,2501,250009,2503
5000203,5000203,Água Clara,-20.44885076,-52.87511755,308.972068,50,50007,5003,500002,5001
3100708,3100708,Água Comprida,-20.05931241,-48.10807677,531.440149,31,31022,3105,310055,3110
4200408,4200408,Água Doce,-27.00409166,-51.55909656,806.108487,42,42004,4201,420008,4204
2100154,2100154,Água Doce do Maranhão,-2.840278279,-42.1155512,10.436902,21,21013,2104,210007,2101
3200169,3200169,Água Doce do Norte,-18.54554649,-40.97645591,210.915002,32,32001,3201,320006,3203
2900405,2900405,Água Fria,-11.872931,-38.7680778,299.885981,29,29012,2903,290029,2910
5200175,5200175,Água Fria de Goiás,-14.98553527,-47.78221216,856.258285,52,52012,5204,520022,5206
5200209,5200209,Água Limpa,-18.07140606,-48.76124096,679.320361,52,52015,5205,520008,5202
