CODIGO_MUNICIPIO,DIA,MES
130080,1,1
150611,1,1
150796,1,1
170384,1,1
170770,1,1
171370,1,1
171720,1,1
172049,1,1
172130,1,1
210083,1,1
210207,1,1
210237,1,1
210275,1,1
210390,1,1
210570,1,1
210635,1,1
210845,1,1
210927,1,1
211178,1,1
220005,1,1
220030,1,1
220860,1,1
221062,1,1
250770,1,1
250780,1,1
251610,1,1
251650,1,1
260760,1,1
261280,1,1
261510,1,1
270290,1,1
280670,1,1
310020,1,1
310050,1,1
310080,1,1
310163,1,1
310390,1,1
310500,1,1
310540,1,1
310570,1,1
310870,1,1
311250,1,1
311265,1,1
311300,1,1
311360,1,1
311460,1,1
311545,1,1
311690,1,1
311700,1,1
311710,1,1
311740,1,1
311920,1,1
311980,1,1
312015,1,1
312330,1,1
312385,1,1
312460,1,1
312595,1,1
312760,1,1
312930,1,1
313005,1,1
313115,1,1
313320,1,1
313430,1,1
313507,1,1
313545,1,1
313700,1,1
313865,1,1
313870,1,1
313890,1,1
313925,1,1
314055,1,1
314085,1,1
314100,1,1
314345,1,1
314520,1,1
314530,1,1
314830,1,1
315030,1,1
315050,1,1
315200,1,1
315240,1,1
315310,1,1
315340,1,1
315350,1,1
315410,1,1
315430,1,1
315445,1,1
315727,1,1
315800,1,1
315850,1,1
315920,1,1
315935,1,1
316257,1,1
316270,1,1
316295,1,1
316390,1,1
316450,1,1
316557,1,1
316610,1,1
316820,1,1
316970,1,1
317005,1,1
317030,1,1
317052,1,1
317110,1,1
317190,1,1
320265,1,1
355590,1,1
410337,1,1
422000,1,1
431190,1,1
431335,1,1
431862,1,1
510810,1,1
210130,2,1
240650,2,1
250140,2,1
250650,2,1
270460,2,1
311220,2,1
320140,2,1
150080,3,1
230710,3,1
240350,4,1
250670,4,1
250830,4,1
421565,4,1
421885,4,1
431740,4,1
431810,4,1
521900,5,1
150820,6,1
260700,6,1
261420,6,1
320020,6,1
330010,6,1
351385,6,1
353190,6,1
420460,6,1
521120,6,1
150600,7,1
251220,7,1
311330,7,1
314860,7,1
320330,7,1
431820,7,1
211230,8,1
290515,8,1
410322,8,1
411450,8,1
240615,9,1
250700,9,1
251540,9,1
311580,9,1
350745,9,1
351495,9,1
351925,9,1
411325,9,1
420165,9,1
420205,9,1
420215,9,1
420315,9,1
420543,9,1
420785,9,1
421165,9,1
421185,9,1
421223,9,1
421555,9,1
421715,9,1
522026,9,1
170035,10,1
251470,10,1
261370,10,1
314120,10,1
170310,11,1
251710,11,1
150140,12,1
270320,12,1
352120,12,1
510650,12,1
211190,13,1
231335,13,1
250380,13,1
