Código Município Completo,Município,Nome_Município,latitude,longitude,altitude,Microrregião Geográfica,UF,Mesorregião Geográfica
1100015,15,Alta Floresta D'Oeste,,,,6,11,2
1100023,23,Ariquemes,-9.9084628665672003,-63.033269278048401,138.68898100000001,3,11,2
1100031,31,Cabixi,-13.4997634596963,-60.544313581200896,236.06316000000001,8,11,2
1100049,49,Cacoal,-11.433865028685199,-61.4429442118224,177.45354699999999,6,11,2
1100056,56,Cerejeiras,-13.1950330320399,-60.818426164681505,262.811307,8,11,2
1100064,64,Colorado do Oeste,-13.130563841455301,-60.555067463078899,419.09061300000002,8,11,2
1100072,72,Corumbiara,-12.9975202364834,-60.948701170661401,269.171178,8,11,2
1100080,80,Costa Marques,-12.436013877714201,-64.231653939117194,145.21390299999999,2,11,1
1100098,98,Espigão D'Oeste,-11.528554633347301,-61.020173113284699,262.52722499999999,6,11,2
1100106,106,Guajará-Mirim,-10.773883740670501,-65.323951819692297,133.41438099999999,2,11,1
1100114,114,Jaru,-10.435948767884399,-62.476230708131702,162.55132800000001,4,11,2
1100122,122,Ji-Paraná,-10.882051318349001,-61.945094582684106,157.26267300000001,4,11,2
1100130,130,Machadinho D'Oeste,-8.9333629581043699,-62.056723481112897,80.870538999999994,3,11,2
1100148,148,Nova Brasilândia D'Oeste,-11.721325413855901,-62.308230163018997,259.41747500000002,5,11,2
1100155,155,Ouro Preto do Oeste,-10.7235739008135,-62.261055190436302,252.16764900000001,4,11,2
1100189,189,Pimenta Bueno,-12.0134266243568,-60.860058115089799,246.91931199999999,7,11,2
1100205,205,Porto Velho,-9.6856177271914206,-65.371505726148797,108.340813,1,11,1
1100254,254,Presidente Médici,-11.173205016226801,-61.9094386835298,178.222375,4,11,2
1100262,262,Rio Crespo,-9.7055367097394907,-62.900010365958899,124.322215,3,11,2
1100288,288,Rolim de Moura,-11.722258913380799,-61.7857809351854,226.71110300000001,6,11,2
1100296,296,Santa Luzia D'Oeste,-11.722258913380799,-61.7857809351854,226.71110300000001,6,11,2
1100304,304,Vilhena,-12.7413734718029,-60.138583866098699,595.09376899999995,7,11,2
1100320,320,São Miguel do Guaporé,-11.699489743806001,-62.720063481436398,191.082628,5,11,2
1100338,338,Nova Mamoré,-10.4117712947002,-65.329149023146698,150.93060399999999,1,11,1
1100346,346,Alvorada D'Oeste,-10.4117712947002,-65.329149023146698,150.93060399999999,5,11,2
1100379,379,Alto Alegre dos Parecis,-10.4117712947002,-65.329149023146698,150.93060399999999,6,11,2
1100403,403,Alto Paraíso,-9.7166667380772811,-63.317629433497601,128.000112,3,11,2
1100452,452,Buritis,-10.209805407235599,-63.8296787917565,153.171166,1,11,1
1100502,502,Novo Horizonte do Oeste,-11.7097429200152,-61.994387662760602,229.51170500000001,6,11,2
1100601,601,Cacaulândia,-10.338872839392801,-62.903189934568694,161.056558,3,11,2
1100700,700,Campo Novo de Rondônia,-10.568416469348501,-63.6249914265426,206.14893599999999,1,11,1
1100809,809,Candeias do Jamari,-8.7850207034774801,-63.700020071829798,84.750219000000001,1,11,1
1100908,908,Castanheiras,-11.426842225462499,-61.9491611964662,214.995394,6,11,2
1100924,924,Chupinguaia,-12.556840761093801,-60.901847749955401,340.29963099999998,7,11,2
1100940,940,Cujubim,-9.3781933990571211,-62.587174531920901,110.95989400000001,1,11,1
1101005,1005,Governador Jorge Teixeira,-10.6120717726075,-62.740457639463202,201.78100800000001,4,11,2
1101104,1104,Itapuã do Oeste,-10.6120717726075,-62.740457639463202,201.78100800000001,1,11,1
1101203,1203,Ministro Andreazza,-11.196237984159099,-61.5189219301054,266.29152599999998,6,11,2
1101302,1302,Mirante da Serra,-11.045609289937,-62.669427095256601,211.81564299999999,4,11,2
1101401,1401,Monte Negro,-10.263097755883001,-63.295559167217498,155.40033700000001,3,11,2
1101435,1435,Nova União,-10.9155320416628,-62.55508939888,241.49372399999999,4,11,2
1101450,1450,Parecis,-12.179827050707701,-61.597997972677604,296.28283800000003,7,11,2
1101468,1468,Pimenteiras do Oeste,-13.476562002461499,-61.044379002538399,170.255529,8,11,2
1101476,1476,Primavera de Rondônia,-11.825706954246799,-61.316546242916502,244.567351,7,11,2
1101484,1484,São Felipe D'Oeste,-11.9143893546886,-61.5125081133327,269.726767,7,11,2
1101492,1492,São Francisco do Guaporé,-12.063798412233401,-63.570864710764901,165.693726,2,11,1
1101500,1500,Seringueiras,-11.767116635607001,-63.0387609977072,185.83087800000001,5,11,2
1101559,1559,Teixeirópolis,-10.932169286039901,-62.255922253954601,191.34935999999999,4,11,2
1101609,1609,Theobroma,-10.2487305520261,-62.345145529934896,191.59854799999999,4,11,2
1101708,1708,Urupá,-11.1285452756794,-62.370632453766696,197.17002400000001,4,11,2
1101757,1757,Vale do Anari,-9.8513927080617911,-62.176823442127798,157.66535300000001,3,11,2
1101807,1807,Vale do Paraíso,-10.431052684556501,-62.134390356809895,153.994474,4,11,2
1200013,13,Acrelândia,-10.073793892463499,-67.052316580020602,205.894014,4,12,2
1200054,54,Assis Brasil,-10.942865680917201,-69.563459174667699,234.86683500000001,5,12,2
1200104,104,Brasiléia,-11.016411019085799,-68.747943425958397,188.324139,5,12,2
1200138,138,Bujari,-9.8200196267093798,-67.9518592792015,198.17419699999999,4,12,2
1200179,179,Capixaba,-10.569767708792801,-67.673507971943209,212.30330900000001,4,12,2
1200203,203,Cruzeiro do Sul,-7.6306900050098099,-72.672531317435798,183.07952499999999,1,12,1
1200252,252,Epitaciolândia,-11.0282398279564,-68.744868066674897,206.036126,5,12,2
1200302,302,Feijó,-8.1602475299999995,-70.353983608216495,159.822497,2,12,1
1200328,328,Jordão,-9.1933578598284811,-71.9508751248365,264.97788100000002,2,12,1
1200336,336,Mâncio Lima,-7.5932225938583597,-72.916501026130803,187.06599800000001,1,12,1
1200344,344,Manoel Urbano,-8.8363177368916599,-69.259944577507497,162.13382100000001,3,12,2
1200351,351,Marechal Thaumaturgo,-8.9535911231536609,-72.790265908698288,214.910605,1,12,1
1200385,385,Plácido de Castro,-10.335133282742699,-67.188260086151601,129.18948399999999,4,12,2
