id_microrregiao,fk_id_estado,fk_id_mesorregiao,nome
35035,35,3508,Adamantina
32007,32,3203,Afonso Cláudio
21002,21,2101,Aglomeração Urbana de São Luís
28004,28,2802,Agreste de Itabaiana
28006,28,2802,Agreste de Lagarto
24015,24,2403,Agreste Potiguar
31041,31,3108,Aimorés
27002,27,2701,Alagoana do Sertão do São Francisco
29017,29,2904,Alagoinhas
32011,32,3204,Alegre
31049,31,3110,Alfenas
15003,15,1501,Almeirim
31014,31,3103,Almenara
51002,51,5101,Alta Floresta
15015,15,1505,Altamira
51022,51,5105,Alto Araguaia
26009,26,2603,Alto Capibaribe
51012,51,5103,Alto Guaporé
21011,21,2103,Alto Mearim e Grajaú
22015,22,2204,Alto Médio Canindé
22010,22,2203,Alto Médio Gurguéia
51018,51,5104,Alto Pantanal
51015,51,5104,Alto Paraguai
22007,22,2203,Alto Parnaíba Piauiense
13003,13,1302,Alto Solimões
50003,50,5002,Alto Taquari
51006,51,5101,Alto Teles Pires
11005,11,1102,Alvorada D'Oeste
16002,16,1601,Amapá
35033,35,3507,Amparo
52007,52,5203,Anápolis
35016,35,3503,Andradina
31055,31,3110,Andrelândia
24009,24,2402,Angicos
52009,52,5203,Anicuns
41010,41,4103,Apucarana
50002,50,5001,Aquidauana
28011,28,2803,Aracaju
35017,35,3503,Araçatuba
31012,31,3103,Araçuaí
52003,52,5201,Aragarças
17002,17,1701,Araguaína
27006,27,2702,Arapiraca
42020,42,4206,Araranguá
35024,35,3505,Araraquara
15006,15,1502,Arari
26001,26,2601,Araripina
31023,31,3105,Araxá
51005,51,5101,Arinos
51001,51,5101,Aripuanã
11003,11,1102,Ariquemes
41014,41,4104,Assaí
35039,35,3510,Assis
41006,41,4103,Astorga
35006,35,3501,Auriflama
35022,35,3504,Avaré
33009,33,3304,Bacia de São João
33013,33,3305,Baía da Ilha Grande
24013,24,2403,Baixa Verde
21005,21,2101,Baixada Maranhense
28010,28,2803,Baixo Cotinguiba
23009,23,2302,Baixo Curu
23023,23,2305,Baixo Jaguaribe
50001,50,5001,Baixo Pantanal
21013,21,2104,Baixo Parnaíba Maranhense
22001,22,2201,Baixo Parnaíba Piauiense
35052,35,3513,Bananal
31059,31,3111,Barbacena
29006,29,2902,Barra
32001,32,3201,Barra de São Francisco
33012,33,3305,Barra do Piraí
29001,29,2901,Barreiras
35009,35,3502,Barretos
23031,23,2307,Barro
27004,27,2701,Batalha
35015,35,3502,Batatais
23013,23,2302,Baturité
35020,35,3504,Bauru
15007,15,1503,Belém
31030,31,3107,Belo Horizonte
22008,22,2203,Bertolínia
17001,17,1701,Bico do Papagaio
35018,35,3503,Birigui
42012,42,4204,Blumenau
14001,14,1401,Boa Vista
13011,13,1304,Boca do Acre
31009,31,3102,Bocaiúva
50009,50,5004,Bodoquena
31026,31,3106,Bom Despacho
29007,29,2902,Bom Jesus da Lapa
28012,28,2803,Boquim
29022,29,2906,Boquira
24014,24,2403,Borborema Potiguar
35023,35,3504,Botucatu
35048,35,3512,Bragança Paulista
15010,15,1504,Bragantina
12005,12,1202,Brasiléia
53001,53,5301,Brasília
25015,25,2503,Brejo Paraibano
26012,26,2603,Brejo Pernambucano
23033,23,2307,Brejo Santo
29027,29,2906,Brumado
43022,43,4304,Cachoeira do Sul
32012,32,3204,Cachoeiro de Itapemirim
11006,11,1102,Cacoal
25002,25,2501,Cajazeiras
43028,43,4305,Camaquã
15011,15,1504,Cametá
43030,43,4306,Campanha Central
43031,43,4306,Campanha Meridional
43029,43,4306,Campanha Ocidental
25017,25,2503,Campina Grande
35032,35,3507,Campinas
31045,31,3109,Campo Belo
50004,50,5002,Campo Grande
22004,22,2202,Campo Maior
41005,41,4102,Campo Mourão
42010,42,4203,Campos de Lages
35049,35,3513,Campos do Jordão
33003,33,3302,Campos dos Goytacazes
51010,51,5102,Canarana
23012,23,2302,Canindé
42006,42,4202,Canoinhas
33006,33,3303,Cantagalo-Cordeiro
41025,41,4107,Capanema
35044,35,3511,Capão Bonito
31011,31,3103,Capelinha
14003,14,1402,Caracaraí
35054,35,3513,Caraguatatuba
31040,31,3108,Caratinga
43009,43,4301,Carazinho
28002,28,2801,Carira
23032,23,2307,Cariri
25010,25,2502,Cariri Ocidental
25011,25,2502,Cariri Oriental
23030,23,2307,Caririaçu
23015,23,2302,Cascavel
41023,41,4106,Cascavel
50005,50,5003,Cassilândia
15008,15,1503,Castanhal
31066,31,3112,Cataguases
52017,52,5205,Catalão
35005,35,3501,Catanduva
25001,25,2501,Catolé do Rocha
29019,29,2905,Catu
21017,21,2104,Caxias
43016,43,4302,Caxias do Sul
52006,52,5203,Ceres
41035,41,4110,Cerro Azul
43006,43,4301,Cerro Largo
24002,24,2401,Chapada do Apodi
23029,23,2307,Chapada do Araripe
52005,52,5202,Chapada dos Veadeiros
21021,21,2105,Chapadas das Mangabeiras
21018,21,2104,Chapadas do Alto Itapecuru
22012,22,2203,Chapadas do Extremo Sul Piauiense
21014,21,2104,Chapadinha
42002,42,4201,Chapecó
23014,23,2302,Chorozinho
41003,41,4101,Cianorte
13006,13,1303,Coari
21015,21,2104,Codó
21016,21,2104,Coelho Neto
32003,32,3201,Colatina
51003,51,5101,Colíder
11008,11,1102,Colorado do Oeste
15022,15,1506,Conceição do Araguaia
31028,31,3107,Conceição do Mato Dentro
42005,42,4201,Concórdia
31034,31,3107,Conselheiro Lafaiete
23003,23,2301,Coreaú
41015,41,4104,Cornélio Procópio
29002,29,2901,Cotegipe
28008,28,2803,Cotinguiba
42019,42,4206,Criciúma
43011,43,4301,Cruz Alta
12001,12,1201,Cruzeiro do Sul
51017,51,5104,Cuiabá
25012,25,2503,Curimataú Ocidental
25013,25,2503,Curimataú Oriental
41037,41,4110,Curitiba
42009,42,4203,Curitibanos
31025,31,3106,Curvelo
31010,31,3103,Diamantina
17008,17,1702,Dianópolis
31043,31,3109,Divinópolis
50010,50,5004,Dourados
35034,35,3508,Dracena
52012,52,5204,Entorno de Brasília
29018,29,2904,Entre Rios
43004,43,4301,Erechim
25014,25,2503,Esperança
28013,28,2803,Estância
29014,29,2904,Euclides da Cunha
41012,41,4103,Faxinal
29012,29,2903,Feira de Santana
26019,26,2605,Fernando de Noronha
35002,35,3501,Fernandópolis
41008,41,4103,Floraí
22009,22,2203,Floriano
42016,42,4205,Florianópolis
31044,31,3109,Formiga
23016,23,2303,Fortaleza
41024,41,4106,Foz do Iguaçu
35012,35,3502,Franca
41026,41,4107,Francisco Beltrão
35058,35,3515,Franco da Rocha
43003,43,4301,Frederico Westphalen
