id_regiao_imediata,fk_id_regiao_intermediaria,fk_id_estado,nome
310070,3113,31,Abaeté
150003,1501,15,Abaetetuba
210021,2105,21,Açailândia
230017,2306,23,Acaraú
240011,2403,24,Açu
350019,3505,35,Adamantina - Lucélia
260014,2603,26,Afogados da Ingazeira
320002,3201,32,Afonso Cláudio - Venda Nova do Imigrante - Santa Maria de Jetibá
510015,5104,51,Água Boa
310019,3103,31,Águas Formosas
520020,5206,52,Águas Lindas de Goiás
310023,3104,31,Aimorés - Resplendor
290002,2901,29,Alagoinhas
320008,3204,32,Alegre
310036,3106,31,Além Paraíba
310042,3108,31,Alfenas
150019,1506,15,Almeirim - Porto de Moz
310015,3103,31,Almenara
510010,5103,51,Alta Floresta
150018,1506,15,Altamira
500009,5002,50,Amambai
220002,2201,22,Amarante - Água Branca - Regeneração
350048,3510,35,Amparo
520002,5201,52,Anápolis
350024,3506,35,Andradina
330002,3301,33,Angra dos Reis
410023,4105,41,Apucarana
500012,5003,50,Aquidauana - Anastácio
280001,2801,28,Aracaju
230008,2302,23,Aracati
350022,3506,35,Araçatuba
310017,3103,31,Araçuaí
170005,1702,17,Araguaína
170009,1702,17,Araguatins
270007,2702,27,Arapiraca
420004,4202,42,Araranguá
350036,3509,35,Araraquara
350045,3510,35,Araras
260016,2604,26,Araripina
310056,3110,31,Araxá
260011,2602,26,Arcoverde
110002,1101,11,Ariquemes
350014,3504,35,Assis
270006,2701,27,Atalaia
350007,3502,35,Avaré
210010,2102,21,Bacabal
430010,4302,43,Bagé
210022,2105,21,Balsas
310037,3107,31,Barbacena
210020,2105,21,Barra do Corda
510013,5104,51,Barra do Garças
220005,2201,22,Barras
290018,2906,29,Barreiras
210006,2101,21,Barreirinhas
260007,2601,26,Barreiros - Sirinhaém
350032,3508,35,Barretos
350009,3503,35,Bauru
150001,1501,15,Belém
310001,3101,31,Belo Horizonte
260012,2602,26,Belo Jardim ¿ Pesqueira
430037,4307,43,Bento Gonçalves
350023,3506,35,Birigui - Penápolis
420019,4207,42,Blumenau
140001,1401,14,Boa Vista
220016,2205,22,Bom Jesus
290017,2905,29,Bom Jesus da Lapa
350011,3503,35,Botucatu
150005,1502,15,Bragança
350041,3510,35,Bragança Paulista
120002,1201,12,Brasiléia
230012,2304,23,Brejo Santo
150020,1507,15,Breves
290013,2904,29,Brumado
420021,4207,42,Brusque
330013,3305,33,Cabo Frio
420014,4205,42,Caçador
510004,5102,51,Cáceres
430013,4303,43,Cachoeira do Sul
320007,3204,32,Cachoeiro de Itapemirim
110005,1102,11,Cacoal
240007,2402,24,Caicó
250015,2504,25,Cajazeiras
520008,5202,52,Caldas Novas-Morrinhos
290010,2903,29,Camacan
430005,4301,43,Camaquã
150002,1501,15,Cametá
230018,2306,23,Camocim
250005,2502,25,Campina Grande
350038,3510,35,Campinas
310048,3108,31,Campo Belo
500001,5001,50,Campo Grande
220003,2201,22,Campo Maior
410015,4104,41,Campo Mourão
330010,3304,33,Campos dos Goytacazes
240003,2401,24,Canguaretama
230004,2301,23,Canindé
220019,2206,22,Canto do Buriti
150006,1502,15,Capanema
310014,3103,31,Capelinha
150008,1502,15,Capitão Poço
140004,1402,14,Caracaraí
350051,3511,35,Caraguatatuba - Ubatuba - São Sebastião
310034,3106,31,Carangola
310025,3105,31,Caratinga
430028,4306,43,Carazinho
260006,2601,26,Carpina
260009,2602,26,Caruaru
410006,4103,41,Cascavel
150004,1502,15,Castanhal
310032,3106,31,Cataguases
520004,5201,52,Catalão
350026,3507,35,Catanduva
250011,2503,25,Catolé do Rocha - São Bento
310054,3109,31,Caxambu - Baependi
210013,2103,21,Caxias
430036,4307,43,Caxias do Sul
520018,5205,52,Ceres - Rialma - Goianésia
430024,4305,43,Cerro Largo
210003,2101,21,Chapadinha
420007,4204,42,Chapecó
430006,4301,43,Charqueadas - Triunfo - São Jerônimo
410018,4104,41,Cianorte
290027,2909,29,Cícero Dantas
130003,1301,13,Coari
210015,2103,21,Codó
320005,3203,32,Colatina
210018,2104,21,Colinas
170007,1702,17,Colinas do Tocantins
290032,2910,29,Conceição do Coité
420010,4204,42,Concórdia
510014,5104,51,Confresa - Vila Rica
310038,3107,31,Conselheiro Lafaiete
410024,4105,41,Cornélio Procópio ¿ Bandeirantes
220015,2205,22,Corrente
500010,5003,50,Corumbá
500004,5001,50,Coxim
